23
VM,Load,Load Frac,Avg Delay
1,35.2,35.2,0.2927898735447155
1,70.4,70.4,0.42217765228588566
1,105.60000000000001,105.60000000000001,0.542408488594652
1,140.8,140.8,0.6625097314661708
1,176.0,176.0,0.840335434958432
1,186.56000000000003,186.56000000000003,0.9078698463027115
1,197.12000000000003,197.12000000000003,0.9940341134854944
1,207.68000000000004,207.68000000000004,1.1023533628694657
1,218.24000000000004,218.24000000000004,1.249952475920485
1,228.8,228.8,1.4217893322042459
1,239.36000000000004,239.36000000000004,1.5579194445088382
1,249.92000000000004,249.92000000000004,1.808330243871029
1,260.48,260.48,1.984031856772956
1,271.04,271.04,2.195485400428553
1,281.6,281.6,2.482866607986007
1,299.20000000000005,299.20000000000005,3.0984677684446447
1,316.8,316.8,3.9251922844946505
1,334.40000000000003,334.40000000000003,5.165281044933766
1,352.0,352.0,6.389114644564653
1,369.6,369.6,8.769192837547765
1,387.20000000000005,387.20000000000005,11.436080421992147
1,404.8,404.8,14.715202078087268
1,422.40000000000003,422.40000000000003,19.947891592108874
2,70.4,35.2,0.31639400961528
2,140.8,70.4,0.38841403909823
2,211.20000000000002,105.60000000000001,0.4764222890983542
2,281.6,140.8,0.5878694571781337
2,352.0,176.0,0.8064124771802762
2,373.12000000000006,186.56000000000003,0.8875360580181805
2,394.24000000000007,197.12000000000003,0.9286375635358842
2,415.36000000000007,207.68000000000004,0.998909817735575
2,436.4800000000001,218.24000000000004,1.0873480172190757
2,457.6,228.8,1.2795796264426251
2,478.7200000000001,239.36000000000004,1.4065015635405116
2,499.8400000000001,249.92000000000004,1.5753827384754957
2,520.96,260.48,1.7647709871984691
2,542.08,271.04,1.9917353857553373
2,563.2,281.6,2.2619212975952565
2,598.4000000000001,299.20000000000005,2.8311559548460052
2,633.6,316.8,3.471481877123125
2,668.8000000000001,334.40000000000003,4.508557637627836
2,704.0,352.0,5.9554667718979
2,739.2,369.6,7.896737654813765
2,774.4000000000001,387.20000000000005,10.898727688947435
2,809.6,404.8,14.022669743359506
2,844.8000000000001,422.40000000000003,17.960671714949065
4,144.0,36.0,0.29790088837103673
4,288.0,72.0,0.3511159448401889
4,432.0,108.0,0.4412579085497584
4,576.0,144.0,0.577873022205016
4,720.0,180.0,0.7280088113711427
4,763.2,190.8,0.803261997584001
4,806.4000000000001,201.60000000000002,0.8873793880590787
4,849.6,212.4,0.9759120831942871
4,892.8000000000001,223.20000000000002,1.0898104729811124
4,936.0,234.0,1.2101443434557606
4,979.2,244.8,1.3662569990697881
4,1022.4000000000001,255.60000000000002,1.5528065176546941
4,1065.6000000000001,266.40000000000003,1.7240874447840524
4,1108.8,277.2,1.9104278099684067
