Global Slot No,Start Time,Time taken (Sec),No of instance,No of clients,Total average time,Average throughput,Completed sessions,Average session time,Ratio
12,Sat Sep 28 12:47:05 EDT 2013,382,20,1210,982,194,66,156,
13,Sat Sep 21 14:30:37 EDT 2013,384,20,1320,1120,202,83,163,3
14,Sat Sep 28 12:53:27 EDT 2013,378,20,1430,1332,221,74,165,
15,Sat Sep 21 14:37:02 EDT 2013,382,20,1540,1697,217,95,155,3.5
16,Sat Sep 28 12:59:46 EDT 2013,380,20,1650,2286,232,74,178,
17,Sat Sep 21 14:49:53 EDT 2013,385,20,2200,4440,224,76,184,5
18,Sat Sep 21 14:56:18 EDT 2013,399,20,2640,5580,242,82,164,6
19,Sat Sep 21 15:02:58 EDT 2013,405,20,4400,11237,268,73,182,10
20,Sat Sep 21 15:09:44 EDT 2013,440,20,8800,23215,326,68,184,20
21,Mon Sep 23 13:27:16 EDT 2013,479,20,17600,38550,454,62,241,40
22,Mon Sep 23 13:27:16 EDT 2013,479,20,17600,38550,454,62,241,40
